x	k=4	k=3	k=2	k=1
3.1815	-4.5516	-23.1841	-33.7606	-35.4455
3.1972	-6.8084	-15.8628	-35.3764	-26.9512
3.213	-3.6535	-11.5277	-34.9378	-39.0082
3.2287	-5.8164	-15.6071	-28.013	-37.7076
3.2445	-7.3415	-22.8251	-28.5268	-29.9818
3.2602	2.916	-20.0173	-26.8987	-38.2179
3.276	5.3241	-14.1581	-27.5003	-33.3869
3.2918	0.88499	-11.3687	-30.2718	-36.5851
3.3075	-1.5777	-13.7639	-30.0179	-29.2619
3.3232	-2.1517	-24.5291	-31.3073	-38.762
3.339	2.0774	-12.7357	-29.2249	-45.6464
3.3547	1.6773	-8.4831	-24.5474	-33.1423
3.3705	-0.49202	-11.1612	-24.7924	-27.6505
3.3863	-3.5117	-11.4528	-22.1986	-30.5956
3.402	4.0048	-17.561	-20.4179	-31.5494
3.4177	5.616	-11.9875	-21.2429	-21.8662
3.4335	6.4229	-12.7111	-22.9572	-21.512
3.4492	6.8241	-12.032	-22.1996	-21.6358
3.465	0.28886	-7.6991	-24.993	-19.0569
3.4808	-0.20149	-8.0872	-26.777	-30.0675
3.4965	7.3577	-15.2495	-30.3601	-21.7786
3.5122	10.0907	-17.4264	-28.7844	-20.2333
3.528	9.9134	-20.9968	-32.8944	-19.1555
3.5438	9.7473	-17.17	-24.7782	-15.1501
3.5595	8.5966	-9.7811	-19.6834	-13.2777
3.5752	5.4666	-8.1164	-22.3603	-12.0327
3.591	5.3146	-9.3977	-24.9277	-20.7107
3.6067	1.8595	-6.9416	-22.4471	-20.7321
3.6225	5.476	-11.96	-24.0603	-28.3245
3.6383	9.5943	-11.8269	-29.7462	-31.374
3.654	11.0144	-12.7954	-29.2445	-23.9067
3.6698	10.8713	-9.3722	-35.0866	-24.5976
3.6855	10.2511	-11.2975	-27.4864	-21.8225
3.7012	6.63	-14.1575	-26.2103	-29.2046
3.717	1.2256	-14.2847	-23.9469	-33.6781
3.7327	2.5857	-14.6831	-27.7489	-25.6361
3.7485	3.7562	-12.8061	-26.5783	-26.0272
3.7642	4.3596	-10.803	-27.118	-36.314
3.78	7.0011	-12.3728	-25.018	-28.5726
3.7957	6.8732	-14.5073	-32.7264	-26.8254
3.8115	3.6673	-10.3632	-33.6287	-26.5512
3.8273	3.8717	-7.4837	-35.6885	-41.9838
3.843	3.3409	-4.6915	-36.1936	-27.1581
3.8588	3.3483	-4.8386	-32.7519	-35.2346
3.8745	2.6946	-7.0208	-28.0147	-35.5865
3.8902	3.373	-14.2567	-24.4843	-31.5059
3.906	0.38423	-15.5869	-23.4532	-30.7058
3.9217	-1.2012	-10.3836	-22.946	-40.5534
3.9375	-2.6643	-5.73	-21.059	-40.2242
3.9532	0.96987	-6.731	-22.8917	-55.7483
3.969	4.1673	-12.5676	-21.6763	-37.1866
3.9848	-0.24842	-13.5785	-21.3791	-37.8444
4.0005	4.2987	-15.2239	-23.1119	-33.5257
4.0163	6.8857	-26.9938	-23.2362	-28.3583
4.032	2.6996	-8.9411	-21.3592	-40.651
4.0477	-4.7602	-3.6093	-22.2737	-37.4803
4.0635	1.9032	-4.0592	-24.2862	-28.9897
4.0793	3.3555	-10.3451	-26.4694	-28.6672
4.095	-1.1867	-15.7627	-27.0468	-25.825
4.1107	1.5388	-12.538	-23.9726	-23.0169
4.1265	5.1304	-7.5144	-22.2036	-28.136
