x	L=41	L=21	L=11
0.79688	-69.7695	-94.0337	-53.6191
0.79883	-68.9064	-87.8049	-53.5465
0.80078	-68.2536	-84.2845	-53.485
0.80273	-67.781	-81.8496	-53.4345
0.80469	-67.4696	-80.0092	-53.3946
0.80664	-67.3077	-78.548	-53.3652
0.80859	-67.2893	-77.3522	-53.3461
0.81055	-67.4138	-76.3545	-53.3371
0.8125	-67.6847	-75.5119	-53.3382
0.81445	-68.1114	-74.7949	-53.3493
0.81641	-68.7098	-74.1831	-53.3703
0.81836	-69.505	-73.6613	-53.4011
0.82031	-70.5366	-73.2182	-53.4418
0.82227	-71.8687	-72.8454	-53.4924
0.82422	-73.6106	-72.5361	-53.5529
0.82617	-75.971	-72.2853	-53.6233
0.82813	-79.423	-72.089	-53.7038
0.83008	-85.5022	-71.9442	-53.7944
0.83203	-116.5896	-71.8486	-53.8953
0.83398	-85.0503	-71.8005	-54.0067
0.83594	-79.2256	-71.7989	-54.1287
0.83789	-75.8712	-71.8432	-54.2616
0.83984	-73.5691	-71.9334	-54.4057
0.8418	-71.8698	-72.07	-54.5612
0.84375	-70.5727	-72.2538	-54.7285
0.8457	-69.5715	-72.4865	-54.9079
0.84766	-68.8041	-72.77	-55.1
0.84961	-68.2317	-73.1074	-55.3052
0.85156	-67.8299	-73.5023	-55.524
0.85352	-67.583	-73.9595	-55.7572
0.85547	-67.4822	-74.4853	-56.0053
0.85742	-67.5239	-75.0877	-56.2692
0.85937	-67.7092	-75.7772	-56.5498
0.86133	-68.0442	-76.5678	-56.8481
0.86328	-68.5407	-77.4785	-57.1654
0.86523	-69.2183	-78.536	-57.5028
0.86719	-70.1075	-79.7791	-57.862
0.86914	-71.2569	-81.2675	-58.2447
0.87109	-72.7463	-83.0997	-58.653
0.87305	-74.7181	-85.4556	-59.0893
0.875	-77.461	-88.7225	-59.5564
0.87695	-81.7135	-94.0251	-60.0577
0.87891	-90.76	-109.8007	-60.5971
0.88086	-92.1989	-97.5512	-61.1797
0.88281	-82.2024	-90.6048	-61.8114
0.88477	-77.7665	-86.8596	-62.4996
0.88672	-74.9494	-84.311	-63.2539
0.88867	-72.9395	-82.4	-64.0866
0.89063	-71.4285	-80.8898	-65.014
0.89258	-70.2662	-79.6577	-66.0582
0.89453	-69.369	-78.6318	-67.2508
0.89648	-68.6868	-77.7667	-68.6385
0.89844	-68.1875	-77.0317	-70.2947
0.90039	-67.851	-76.4052	-72.3457
0.90234	-67.6649	-75.8718	-75.0361
0.9043	-67.6226	-75.4198	-78.9499
0.90625	-67.7226	-75.0404	-86.2437
0.9082	-67.9679	-74.727	-96.3628
0.91016	-68.3671	-74.4743	-82.0603
0.91211	-68.9349	-74.2784	-76.9388
0.91406	-69.695	-74.1364	-73.7545
0.91602	-70.6843	-74.046	-71.4437
0.91797	-71.9623	-74.006	-69.6334
0.91992	-73.6296	-74.0153	-68.1485
0.92188	-75.8742	-74.0738	-66.8926
0.92383	-79.1087	-74.1819	-65.8071
0.92578	-84.5761	-74.3403	-64.8534
0.92773	-103.9205	-74.5508	-64.0051
0.92969	-86.6746	-74.8155	-63.243
0.93164	-80.1473	-75.1375	-62.5529
0.93359	-76.5583	-75.521	-61.924
0.93555	-74.1341	-75.9713	-61.3478
0.9375	-72.3568	-76.4953	-60.8176
0.93945	-71.0032	-77.1021	-60.3279
0.94141	-69.9578	-77.8037	-59.8742
0.94336	-69.1533	-78.6164	-59.453
0.94531	-68.5485	-79.5625	-59.061
0.94727	-68.1171	-80.6739	-58.6957
0.94922	-67.8423	-81.9987	-58.3547
0.95117	-67.7144	-83.6127	-58.0363
0.95312	-67.729	-85.6474	-57.7386
0.95508	-67.8866	-88.3611	-57.4604
0.95703	-68.1923	-92.3828	-57.2003
0.95898	-68.6571	-100.1639	-56.9571
0.96094	-69.2989	-107.1329	-56.7301
0.96289	-70.1463	-94.6468	-56.5181
0.96484	-71.2441	-89.7693	-56.3206
0.9668	-72.6655	-86.7108	-56.1368
0.96875	-74.5391	-84.5002	-55.9662
0.9707	-77.1187	-82.7869	-55.8081
0.97266	-81.0219	-81.4041	-55.6621
0.97461	-88.6286	-80.2595	-55.5278
0.97656	-96.2344	-79.2964	-55.4048
0.97852	-83.3984	-78.4779	-55.2928
0.98047	-78.511	-77.7786	-55.1914
0.98242	-75.5023	-77.1801	-55.1004
0.98437	-73.3825	-76.6691	-55.0196
0.98633	-71.7973	-76.2357	-54.9487
0.98828	-70.5795	-75.8722	-54.8876
0.99023	-69.6378	-75.5729	-54.8362
0.99219	-68.9177	-75.3333	-54.7942
0.99414	-68.3849	-75.15	-54.7617
0.99609	-68.0175	-75.0208	-54.7386
0.99805	-67.802	-74.9439	-54.7247
