x	beta=6	beta=3	beta=0
0.6582	-66.1743	-44.8449	-36.3226
0.66016	-66.123	-46.1778	-38.571
0.66211	-66.115	-47.7911	-41.6506
0.66406	-66.1497	-49.8123	-46.5049
0.66602	-66.2267	-52.4898	-58.5516
0.66797	-66.3462	-56.4203	-52.5483
0.66992	-66.5086	-63.8405	-44.6188
0.67188	-66.715	-72.9853	-40.5777
0.67383	-66.9669	-59.2754	-37.8648
0.67578	-67.2663	-54.2352	-35.8354
0.67773	-67.6157	-51.1019	-34.2263
0.67969	-68.0187	-48.8399	-32.9043
0.68164	-68.4795	-47.0831	-31.7924
0.68359	-69.0038	-45.6587	-30.842
0.68555	-69.5986	-44.4716	-30.0207
0.6875	-70.2733	-43.4639	-29.3058
0.68945	-71.0398	-42.5975	-28.6807
0.69141	-71.9145	-41.8463	-28.1331
0.69336	-72.9198	-41.1916	-27.6535
0.69531	-74.0874	-40.6194	-27.2345
0.69727	-75.465	-40.1193	-26.8704
0.69922	-77.1279	-39.6832	-26.5567
0.70117	-79.2063	-39.3047	-26.2895
0.70313	-81.9548	-38.9788	-26.066
0.70508	-85.9909	-38.7016	-25.8839
0.70703	-93.6866	-38.4698	-25.7413
0.70898	-101.4452	-38.2809	-25.6369
0.71094	-88.6009	-38.1331	-25.5695
0.71289	-83.7115	-38.0247	-25.5386
0.71484	-80.6706	-37.9546	-25.5437
0.7168	-78.4851	-37.9222	-25.5848
0.71875	-76.799	-37.927	-25.6622
0.7207	-75.4433	-37.969	-25.7763
0.72266	-74.3247	-38.0483	-25.9281
0.72461	-73.3861	-38.1657	-26.1187
0.72656	-72.5901	-38.3218	-26.3499
0.72852	-71.9109	-38.5182	-26.6237
0.73047	-71.3301	-38.7566	-26.9428
0.73242	-70.8341	-39.0391	-27.3105
0.73438	-70.4126	-39.3686	-27.731
0.73633	-70.0576	-39.7488	-28.2095
0.73828	-69.7632	-40.184	-28.7527
0.74023	-69.5245	-40.68	-29.3689
0.74219	-69.3379	-41.244	-30.0693
0.74414	-69.2003	-41.8851	-30.8684
0.74609	-69.1097	-42.6156	-31.7859
0.74805	-69.0644	-43.4516	-32.8495
0.75	-69.0634	-44.4154	-34.0999
0.75195	-69.1061	-45.5385	-35.5996
0.75391	-69.1922	-46.8681	-37.4526
0.75586	-69.3221	-48.4785	-39.8518
0.75781	-69.4965	-50.4979	-43.2204
0.75977	-69.7166	-53.1759	-48.8463
0.76172	-69.9842	-57.1132	-70.0637
0.76367	-70.3016	-64.5721	-50.5245
0.76563	-70.6719	-73.4216	-44.0856
0.76758	-71.0991	-59.8761	-40.4594
0.76953	-71.5882	-54.8504	-37.9409
0.77148	-72.1457	-51.7195	-36.0237
0.77344	-72.78	-49.4564	-34.4874
0.77539	-73.5021	-47.6967	-33.2162
0.77734	-74.3265	-46.2687	-32.1416
0.7793	-75.2731	-45.0775	-31.2196
0.78125	-76.3699	-44.0653	-30.4207
0.7832	-77.6579	-43.1942	-29.7237
0.78516	-79.2007	-42.4381	-29.1133
0.78711	-81.104	-41.7783	-28.5778
0.78906	-83.5648	-41.201	-28.1085
0.79102	-87.0191	-40.6956	-27.6984
0.79297	-92.8136	-40.2542	-27.3419
0.79492	-117.3588	-39.8702	-27.0348
0.79688	-94.0337	-39.5388	-26.7736
0.79883	-87.8049	-39.256	-26.5555
0.80078	-84.2845	-39.0185	-26.3783
0.80273	-81.8496	-38.8239	-26.2402
0.80469	-80.0092	-38.6702	-26.14
0.80664	-78.548	-38.5559	-26.0768
0.80859	-77.3522	-38.4798	-26.0498
0.81055	-76.3545	-38.4413	-26.0589
0.8125	-75.5119	-38.4399	-26.104
0.81445	-74.7949	-38.4755	-26.1855
0.81641	-74.1831	-38.5483	-26.3039
0.81836	-73.6613	-38.659	-26.4602
0.82031	-73.2182	-38.8084	-26.6558
0.82227	-72.8454	-38.9978	-26.8923
0.82422	-72.5361	-39.229	-27.1721
0.82617	-72.2853	-39.504	-27.4979
0.82813	-72.089	-39.8258	-27.8733
0.83008	-71.9442	-40.1979	-28.3025
0.83203	-71.8486	-40.6246	-28.7913
0.83398	-71.8005	-41.1115	-29.3465
0.83594	-71.7989	-41.6657	-29.9773
0.83789	-71.8432	-42.2963	-30.6952
0.83984	-71.9334	-43.0151	-31.5159
0.8418	-72.07	-43.838	-32.4609
0.84375	-72.2538	-44.7867	-33.5603
0.8457	-72.4865	-45.8917	-34.8588
0.84766	-72.77	-47.1989	-36.4265
0.84961	-73.1074	-48.7797	-38.3826
0.85156	-73.5023	-50.7566	-40.9552
0.85352	-73.9595	-53.3654	-44.6748
0.85547	-74.4853	-57.1615	-51.3806
0.85742	-75.0877	-64.1275	-66.9454
0.85937	-75.7772	-76.8024	-48.8974
0.86133	-76.5678	-60.8282	-43.463
0.86328	-77.4785	-55.5527	-40.1741
0.86523	-78.536	-52.3234	-37.8243
0.86719	-79.7791	-50.0057	-36.008
0.86914	-81.2675	-48.2102	-34.5387
0.87109	-83.0997	-46.756	-33.315
0.87305	-85.4556	-45.5443	-32.2758
0.875	-88.7225	-44.5152	-31.3811
0.87695	-94.0251	-43.6296	-30.6038
0.87891	-109.8007	-42.8606	-29.9243
0.88086	-97.5512	-42.1892	-29.3284
0.88281	-90.6048	-41.6011	-28.8052
0.88477	-86.8596	-41.0857	-28.3462
0.88672	-84.311	-40.6347	-27.9451
0.88867	-82.4	-40.2417	-27.5965
0.89063	-80.8898	-39.9015	-27.2963
0.89258	-79.6577	-39.6101	-27.0414
0.89453	-78.6318	-39.3642	-26.8289
0.89648	-77.7667	-39.1614	-26.6569
0.89844	-77.0317	-38.9996	-26.5238
0.90039	-76.4052	-38.8771	-26.4282
0.90234	-75.8718	-38.793	-26.3695
0.9043	-75.4198	-38.7464	-26.3469
0.90625	-75.0404	-38.7369	-26.3603
0.9082	-74.727	-38.7644	-26.4099
0.91016	-74.4743	-38.829	-26.4958
0.91211	-74.2784	-38.9313	-26.619
0.91406	-74.1364	-39.0721	-26.7804
0.91602	-74.046	-39.2527	-26.9813
0.91797	-74.006	-39.4748	-27.2238
0.91992	-74.0153	-39.7405	-27.5101
0.92188	-74.0738	-40.0525	-27.8432
0.92383	-74.1819	-40.4142	-28.2268
0.92578	-74.3403	-40.83	-28.6655
0.92773	-74.5508	-41.3053	-29.1653
0.92969	-74.8155	-41.8469	-29.7334
0.93164	-75.1375	-42.4636	-30.3796
0.93359	-75.521	-43.1669	-31.1163
0.93555	-75.9713	-43.9721	-31.9603
0.9375	-76.4953	-44.9	-32.9347
0.93945	-77.1021	-45.9799	-34.0726
0.94141	-77.8037	-47.2553	-35.4235
0.94336	-78.6164	-48.7936	-37.0661
0.94531	-79.5625	-50.7091	-39.1379
0.94727	-80.6739	-53.2176	-41.9116
0.94922	-81.9987	-56.8122	-46.0659
0.95117	-83.6127	-63.1262	-54.4052
0.95312	-85.6474	-85.9276	-58.6229
0.95508	-88.3611	-61.9573	-47.4492
0.95703	-92.3828	-56.2371	-42.7423
0.95898	-100.1639	-52.8439	-39.733
0.96094	-107.1329	-50.439	-37.5309
0.96289	-94.6468	-48.588	-35.8057
0.96484	-89.7693	-47.0945	-34.3981
0.9668	-86.7108	-45.8529	-33.2188
0.96875	-84.5002	-44.7998	-32.2129
0.9707	-82.7869	-43.8941	-31.3443
0.97266	-81.4041	-43.1079	-30.5877
0.97461	-80.2595	-42.4211	-29.9253
0.97656	-79.2964	-41.8193	-29.3435
0.97852	-78.4779	-41.2912	-28.8322
0.98047	-77.7786	-40.8284	-28.3835
0.98242	-77.1801	-40.4243	-27.9913
0.98437	-76.6691	-40.0735	-27.6505
0.98633	-76.2357	-39.772	-27.3574
0.98828	-75.8722	-39.5164	-27.1087
0.99023	-75.5729	-39.3041	-26.9021
0.99219	-75.3333	-39.133	-26.7354
0.99414	-75.15	-39.0014	-26.6073
0.99609	-75.0208	-38.9083	-26.5165
0.99805	-74.9439	-38.8527	-26.4624
